,Ratings,Title,Reviews,Likes,Dislikes,Date
19,4,Worth Money.,"Design - 4/5Quality - 3/5Worth money - 5/5 (A normal king size would cost at least 25k)Looks - 4/5  Pros -      Very good design    Good finish    No sharp edges.    Ample storage and good idea of different sized compartments. Cons -     Moving the cot also flexes the parts. So, need to be careful.8"" mattress is a must or else it'll be too short.Worth the money.READ MORE",1,0,17-10-2019
20,5,Highly recommended,"Good products, thanks for flipkart, worth for money, good quality products, storage system super, installation was done on next day and installation team was also professional and very well trained.READ MORE",8,7,17-10-2018
21,3,Just okay,"Product looks great and once installed doesn't move or squeak. Problem is with the joints & edges.1. Joints - The way joints are connected is not very sturdy & will loosen up over time. Especially towards the leg side, it's not a very strong joint & got loosened up. 2. Edges - Very sharp edges & one would get hurt unless careful, especially kids. So, we use the bedsheets in a different way, we don't shove the ends under the mattress. We spread it over the edges. And, this is after my daugh...READ MORE",3,2,17-03-2019
22,3,Fair,product is good but the installation is given to a third party which has very less members and more work.. they were rescheduling the installation at end of day continuously for a week and atlast complaining for 3days they did it after 5days.. work was good nothing bad.. but still they wont come at scheduled time or will not inform properly if they are not able to come..READ MORE,3,2,17-06-2019
23,4,Nice product,"It is a good product with huge storage space, Installation was free and person was also nice. Product seems good as of now. It's been 2 weeks since I bought. The back of bed is little short. Rest a good paisa vasool product. If you are buying and need to shift somewhere else then the un-installation would be a little tiring job I believe.READ MORE",1,0,17-10-2020
24,5,Wonderful,Ossum. 3 people can sleep comfortably. Value for money worth rs 10450.  But quality is not satisfying.  It is durable for  4 to 5 years. But overall good productREAD MORE,1,0,17-06-2020
25,4,Worth the money,"looks wise its good but its not durable..not for long term use... at the time of installation it looks like puzzle game... allover ok ok product in this price,in this price only such type of bed u can get, can't expect more.READ MORE",1,0,17-03-2020
26,4,Pretty good,"Design  not so good,.Rack  with sharp edges  provided is just back of pillow.  if it is little  above  after  one feet of plain  surface, may be convenient. Another one  the placing  of bottom  boards directly  on floor  not a good  design. it will  get corroded  easily. Remaining  all good,, especially  finishing  excellentREAD MORE",1,0,17-01-2020
27,5,Brilliant,Mr Mohan Raj (M24757) is a very good and polite installation person. He installed my product at same day when delivered. And the delivery person is also good. He delivered this product at 2nd floor without any trouble. I am very happy with flipkart and JEEVES BRANCH CHENNAI. Thanks Jeeves Chennai for quick and proper installation.READ MORE,1,0,17-10-2019
28,4,Pretty good,"if you buying for 8k or less it is worth buying, quality is ok, I bought this part of big billion dollars sales for 7.8 k , it's worth every penny, quality is average, considering price it was worthREAD MORE",1,0,17-10-2019
29,3,Does the job,"to start with,  this is a cleverly well designed cot with the under 10k price tag. Installation isn't very easy. I will summarize my experience in bullet pointsPros:1. good fit and finish2. aesthetically pleasing3. value for moneyCons:1.corners are way too pointy (I've hurt my legs a million times already)2.Cot height is no more than a feet. 3.it needs at least 6 inch mattress4.once assembled,  you cannot take it apart (may be a specialist can...) 5. hardly any storage underneath...READ MORE",1,0,17-10-2019
30,4,Pretty good,Cot delivered correctly in stipulated time and installation done same day. worth for money. If u looking for cot around 10k and duribality 4-5 years then worth to go for it.READ MORE,1,0,17-06-2019
31,4,Very Good,Installation though done late the behaviour of the technician was very good. Great product .Will have to say thank you to flipkart for this kind of product.The installation by Jeeves was also pretty good.READ MORE,1,0,17-06-2019
32,4,Worth the money,"Going by all the reviews, can only say that the delivery was on time, the delivery guys from ekart were really humble and polite, didnt charged any extra money to deliver the product at 3rd floor, neither the installation guy who came just the next day after the delivery. The installation process just took less than an hour.    About the product, well I must say that many confuses this with plyboard or wood, this is particle board which is widely used for modular furniture, and within this pr...READ MORE",1,0,17-04-2019
33,5,Brilliant,when I m given order that time felt little bit fear after got that bed very happy value for money at the same time installation person very nice guy thank you flipkart done a good job keep rocking selling this type of quality products we always with you ??????READ MORE,1,0,17-04-2019
34,3,Does the job,Simply Paisa wasool product good quality ..But as much not good as it look like the bad thing about this bed is like when we are shifting the house we can't open the bed as usual beds...simply open the bed with all fixing & fixtures we cannot move this bed as like other beds but if we give a proper place then it's good if we are shifting the bed it may damage or brokeREAD MORE,1,1,17-10-2018
35,4,Delightful,"Just got this queen size cot installed yesterday. No problem with the installation. although I noticed that the cot was slightly longer than the mattress. I was told by the technician that even in queen size, there are size variants available online. some how I could not see them on flipkart. so it would be good if Flipkart can give that information as well so that customers can make a better buy.READ MORE",1,1,17-11-2019
36,5,Awesome,"Value For Money Product, and super first installation. i am satisfy with this product, and the bed is really stable, and  have no ocoard sound, strong enough. (using 1wk)  {use thermocol for the box bottom for best condition}READ MORE",1,2,17-12-2018
37,5,Best in the market!,FAR BETTER THAN EXPECTATION....QUALITY LOOKS GOOD...THIS REVIEW IS AFTER ONE DAY OF USE BUT LUKS LIKE GOOD PRODUCT...GO FOR IT..INSTALLATION GUY WAS TOO GOOD FITTED WITH GOOD PATIENCE AND PERFECTLY THANKS FOR THIS INSTALATIONREAD MORE,1,2,17-03-2020
38,5,Mind-blowing purchase,The bed is of great quality. The engineered wood frames are tough and strong. Though i cannot give a complete review as i have been using the bed since a week. But as per price the product is good value for money. The only difficulty of this bed is in assembling and then disassembling. Though installation and assembling will be done by the flipkart team and it was very well installed and setup. But if you happen to shift home then dissembling it would need an expert carpenter or similar techn...READ MORE,1,2,17-01-2020
39,3,Bad quality,"Worst product please don't buy it's not a worth of what we spent on that,it is too delicate even glass items are better than this,  it doesn't have strong fittings, after buying within 5days it got broken,  and also it need professional person to assemble  and forgot about shifting it is too delicate item to shift one place to another placeREAD MORE",1,9,17-09-2019
40,5,Nice,1. Good for guest room.2. Wood quality looks okay okay. Not thick at all.3. STAY AWAY FROM WATER.4. In this price range the product is not bad.5. For regular use also its good just need to make sure you get the right mattress size and also DO NOT SHIFT THE BED ONCE INSTALLED. Its recommended to dismantle first then move it.READ MORE,0,0,17-09-2019
41,5,Excellent,Nice wooden bed for best price it's comfortable and good from Opus.READ MORE,0,0,17-03-2020
42,5,Fabulous!,Good product but ur staff also demo  is not proper the work ofter pay to the tip I don't like it sorry iam not aney product also not booking in ur app thankuREAD MORE,0,0,17-03-2020
43,4,Brilliant,Very nice product & very easy assembled. Neatly installed. Totally good product from Flipkart.READ MORE,0,0,17-02-2020
44,5,Pretty good,Well flipkart did their job perfectly delivery and installation on time and measurement is accurate as you need mattrace also perfect as per written and overall its value for moneyREAD MORE,0,0,17-02-2020
45,4,Awesome,"I ordered this during the Republic Day sale, and received it within 3 days. Excellent delivery speed, with respect to old reviews that I read. Quality is great and rating 4.5/5. There was not much colour selections so deducted 0.5.Technician was prompt to call for installation the same day, as he was nearby. Overall services 5/5.Bed is tough and well under the budget. Flipkart is raising the bar now to compete with other online service providers.READ MORE",0,0,17-02-2020
46,4,Good quality product,Looking gud.. I don't know the durability.. Its stable one... Even we can't push... Storage box is too gud... Nice person who arrange my bed... Very polite... He arranges the bed fastly... Actually after 5.30 only he came to my home fr arrangement... On that time I was with my baby only.... So i got some nervous... Bt that boy didn't ask anything.. He arranged the cot within half an hour nd then ask feedback... That's all..READ MORE,0,0,17-02-2020
47,5,Worth the money,"The product, and the jeevas installation services is good, i am satisfied with the Jeevas service,. but one think i wanted to highlight, that the storage compartment can be make better if some mechanical stopper is provided in the base, currently as per design, base plates laying as it is on floor without any supportrt and stable mechanism.READ MORE",0,0,17-01-2020
48,3,Terrific,awesome ?? Bed.... Looking great. right now no idea about durability but it's good quality Bed. Best part of bed is storage. great spaceREAD MORE,0,0,17-12-2019
49,5,Just okay,"This product is worthwhile for the amount and good design. looking simple & good. but thickness of plywood is so thin, very light weight with easy breakable. life time should be just 2 years only itseems.READ MORE",0,0,17-12-2019
50,5,Fabulous!,A really good product.Delivery Super Fast and also the installation process was very fast. The design and Size of the Bed is perfect as of now i really liked the product. Worth the price .Really good quality.READ MORE,0,0,17-12-2019
51,5,Must buy!,very happy from the product  and  the customer care and hole company  was best I requested to all person to shop with flipcart for good and perfect  productsREAD MORE,0,0,17-11-2019
52,5,Excellent,"the product is very nice & the installation was also good & the assigned persons were fabulous & very communicative. Overall, an awesome experienceREAD MORE",0,0,17-10-2019
53,5,Terrific purchase!,"Great at the price I bought it at. Only concern I had was the back headrest board for the selves,they had to hammer it. apart from that great buy. and great service. The engineer Pradeep was fast and friendly.READ MORE",0,0,17-10-2019
54,5,Terrific,"Product:Appears to be okay, not sure about the durabilty since, its complete assembly is done on chinese nuts and bolts, so pretty unsure about the durability. you can fine some better options, but in this budget its okay to buy#  installation done by jeeves by Mr. sushil vishwakarma.response time was quick they came epretty fast for the installation as we expected impressive.Installed with attention to detail ensuring a hasselfree installation.READ MORE",0,0,17-10-2019
55,5,Best in the market!,"G.Manikandan, IPJCCH0033, his arrival was on time as scheduled, his work was too good and quick, during work his behaviour and attitude was good, overall i like his work, and i am satisfied with it.READ MORE",0,0,17-10-2019
56,4,Best in the market!,I am very satisfied with the service that I have received. The people who came in to install the furniture were very polite and patient plus provided excellent service. I am looking forward on ordering more things from Flipkart furniture.this bed for perfectly in my room.READ MORE,0,0,17-10-2019
57,5,Good quality product,This is just wow product and worth for price . Also I got this product one day early and also technician was came on time and installed product well. I got this in flipkart big billion days for Rs. 8***Thank you flipkart Love loveREAD MORE,0,0,17-10-2019
58,5,Fabulous!,Received product on promised date. Product has met my expectations. Installation was also on promised date. Very well installed by Jeeves done by Amit Sharma. 5 Star for both product as well as installation.READ MORE,0,0,17-10-2019
59,5,Super!,Super vale for money installation person also good boy he came to our home on time super product recommend to buy this productREAD MORE,0,1,17-09-2019
60,4,Worth every penny,"product is good enough in the price range.complicated to install and dismantling on your own, however its a Excellent product fulfilling purpose of bed as well as storage on such a low cost.must say it is worth buying. Durability and quality is average but the finishing is good.READ MORE",0,0,17-08-2019
61,4,Wonderful,The product is good enough and will last long provided you handle it with care. Though this is engineering wood and the quality seems to do the job. When it comes to installation Jeevas team was able to do good job. Thanks to Vinod Kumar from Jeevas.READ MORE,0,0,17-08-2019
62,5,Pretty good,Its good and bit dedicated as its complete depends on screws and nuts ....the material that has been used is not good for moist surface ...READ MORE,0,0,17-05-2019
63,5,Brilliant,"amazing product by Flipkart. Thick and strong wood used. small section combined together to make this bed, making it even stronger. the storage has 6 different sections and individual lids/covers. I loved the design and the strength. Thanks Flipkart and Jeeves, their installation partner.READ MORE",0,0,17-03-2019
64,4,Wonderful,design is good but cutting of wood is little crosskindly cut the wood as much as betterapart from that product is goodand installation is very fast nice behave from installation guyREAD MORE,0,0,17-12-2018
65,5,Good quality product,"very happy with it. arrive within stipulated period. initially, got one with minor defect. serviceman came to fit the bed. on finding the defect, immediately advise me to get a replacement item and repack the same for return. the replacement arrive in advance to the given delivery date. for the price range, it is very good. worth buying. happy and satisfied with the quality.READ MORE",0,0,17-12-2018
66,5,Worth every penny,"very good quality, timely delivery and sturdy material. Happy with the productREAD MORE",0,0,17-12-2018
67,4,Terrific purchase,"this product is really awesome, I am very happy that it went well with installation. can say strongly that I have chosen a right product.a little note I wanted to show that this product has a little dents when delivered, can see easily that it has some patches on it body. except this everything is fine and complete happy with Flipkart, thanks FlipkartREAD MORE",0,0,17-10-2018
68,5,Delightful,Height is little less than expectations. Btw good product.  Installation went fine and it was quick. The servicing was good by the carpenter. He mentioned that next installation is also free if you shifting your home. This bed is idle for 2 person.READ MORE,0,0,17-10-2018
69,4,Simply awesome,as usual timely delivery from flipakrtjeevs technician came from chennai to installi live in tirupur by the wayit was a breeze overall excellent work by flipkartREAD MORE,0,0,17-08-2018
70,5,Brilliant,Flipkart always provide good product in reasonable price. quality of product is also good . I'm happy with this product.READ MORE,0,0,17-07-2018
71,4,Fabulous!,"Good quality. Good finishing and design. This will be a wonderful thing for the people who have own house and stay there permanently. Because the cot comes with many parts. Not so easy to assemble. If person shifts house and dissemble every time, the screw joints may go loose and fitting may not remain strengthened as initial. Apart from that, its a best product.READ MORE",0,0,17-07-2018
72,5,Product is OK not as good as it should be,Thanks Flipkart for excellent delivery service and installation service both went well.Product is good enough but this is made up in pieces and screwed tight every section. This is more beneficial whoever is using this in their own house.READ MORE,0,1,17-05-2018
73,5,Terrific purchase,"The product quality is great. And the space provided for storage is pretty good. This is a great buy for couples just starting out or singles for a first buy at affordable price.The storage shelf size at the headrest is not as deep as expected, the size specifications are mentioned so please check your calculations for your likings.The product is Made in Malaysia, and most of the assembling is done via wooden stubs and not screws and bolts. Hence, you will have to call a carpenter to dism...READ MORE",0,0,17-05-2018
74,4,Classy product,Bought this king size bed with 78×72 wakefit matresses simply awesome. go for it. value for moneyREAD MORE,120,20,17-04-2019
75,4,Nice product,Its totally worth fr d money.....Installation service was good and its a big yes for d product....Go fr itREAD MORE,176,53,17-11-2018
76,5,Fk amazing but jeeves service is pathetic,"Jeeves installation service was pathetic, technician behaviour was very rude, otherwise bed quality and fk Are amazingREAD MORE",9,0,17-03-2018
77,4,Simply awesome,Super i love it In this price very good product delivery and installation in same date????????READ MORE,20,3,17-06-2020
78,5,Worth the money,Looking very nice.affordable price. I got this queen bed at 8990/- . But don't know about durability. But happy to purchase this.READ MORE,7,0,17-02-2020
79,5,Fabulous!,beautiful @ this costREAD MORE,16,2,17-01-2020
80,4,Worthless,"It is made of Engineered wood (Barooda) , at first, I thought that it would be of good quality but beleive me it isn't. The bottom part of the bed is 6 different equal size of wood boards, and they'll be put on the floor. Itjust looks good on picture, but doesn't serve its purpose.READ MORE",60,21,17-02-2019
81,5,Utterly Disappointed,it's really worst product..look like kids toy cot..waste of money..low height not even 1 and 1/2 feet height ..in pic they showed nicely and height..READ MORE,41,13,17-08-2018
82,4,Hated it!,bed is not strong.very poor quality its ply is very weak and thin.its installation is also not good.dont buy wastage of money.and last one Flipkart also deny to return itREAD MORE,9,1,17-10-2019
83,5,Wonderful,Product quality is good.  price is also less. Installation is also very fast as per schedule.READ MORE,61,28,17-04-2018
84,4,Waste of money!,Such a worst quality just 3months before we ordered...READ MORE,58,28,17-12-2018
85,5,Good choice,look and design is very good.no idea about durability.if u r buying this product at 9k than this is very good product.READ MORE,8,1,17-01-2019
86,5,Excellent,"its god level bed at this price. you can easily put small thing on the back. Best buy and great deal. There are 6 boxes, little trouble to take them up but it's ok.READ MORE",26,11,17-10-2018
87,5,Good choice,good as shown in picREAD MORE,7,1,17-06-2019
88,3,Highly recommended,"it is really awesome bed and I got in reliable price from flipkart.Thanks for flipkart, delivery agent and person who installed this.Thanks again.Must by product.Stength is also very good.READ MORE",10,3,17-10-2018
89,4,Wonderful,pretty good...READ MORE,4,0,17-12-2018
90,5,Worst experience ever!,"Guys don't waste ur hard earned money this is very low class bed hight is also too smal, very difficult to assemble, bed will be on floor only so think twice before you buy. Hope my review will help you to take ur decision..thanks......!!!READ MORE",19,9,17-12-2018
91,5,Wonderful,over all goodREAD MORE,6,1,17-10-2019
92,5,Terrific,Good for what you paidREAD MORE,10,4,17-02-2019
93,5,Worthless,"Every day we need to clean up the Fungus, it's not even 3 months from purchase. Disappointed with this.READ MORE",2,0,17-03-2019
94,5,Absolute rubbish!,Few points to be noted before buying this product. The bed is good but quality is very low. It is made of wood powder mixed with glue. If dont move the bed frequently and keep it at one place then no problem. But if you need move the bed or dismantle it to change the bed to different places then i doubt it will be durable. Also if you live in city then installation will be done quickly. But if you live small towns or villages installation will take a lot of time. For me it took 25 days plus t...READ MORE,2,0,17-09-2020
95,4,Worst experience ever!,The bed got white molds all over the place in the rainy season. Writing the review after 6 months of use.READ MORE,2,0,17-08-2020
96,5,Terrible product,bad product.when I placed replacement for quality purpose the flipcart told me that the item can not be returned for quality issue....I gave the money for quality or any thing else .they r joking....very bad quality product don't go for it.they r making fool.READ MORE,2,0,17-08-2020
97,5,Great product,NiceREAD MORE,3,0,17-01-2020
98,5,Decent product,material wise not that much good. If you are staying In rented house it is not recommend. It is very difficult to reassemble the cot.READ MORE,3,0,17-01-2020
99,4,Pretty good,Edges of the bed is too sharp. U have to take care if there is little child in your home. otherwise design is good and jeeves service is excellent fix it on a same day. Durability of the bed is in quetion..value for moneyREAD MORE,3,0,17-04-2019
100,4,Terrible product,1 also waste..  its not wood... plywood means wastage of wood.. and no installation..  plz dont order this.. plz flipkrt take this back...READ MORE,7,3,17-04-2019
101,5,Excellent,installetion is very fast and He is very politeREAD MORE,12,7,17-06-2019
102,4,Perfect product!,Value for money.. Corners are too sharp.. Could have been blunt type.. Go for it.READ MORE,6,2,17-10-2018
103,5,Fabulous!,"really i loved it.???????????????? bed is as it is in the pic .Good product, everyone buy it..Thanqq flipcartREAD MORE",7,2,17-11-2019
104,3,Absolute rubbish!,very badREAD MORE,8,5,17-04-2018
105,5,Super!,"As per now the product is looking good, installation was smooth.READ MORE",9,5,17-11-2018
106,4,Highly recommended,very happy with the product. only the person who came to do the fitment delayed by two days rest all was good. very happy with the productREAD MORE,10,6,17-08-2018
107,3,Terrible product,"Very cheap product. Just taking money for making invention. It hardly goes 3 year for 11499 not a good deal. Local seller gave it to me just 4500, cardboard not lasting as wood. Verios positive comments on Flipkart but they giving 5 start for look, Jeevs engineering doing late intentionally. I have a suggestion to all sleep on floor but don't buy it. If you not believe then buy it.READ MORE",4,1,17-08-2018
108,3,Pretty good,i got what i ordered and on time delivery. pros- design is very smoth + easy maintenance+ look is good+ storage is available. cons- sharp corners can hurt+ once fixed-non movable+ can not uninstall by ownREAD MORE,4,1,17-06-2020
109,5,Best in the market!,two place have such kind of govaREAD MORE,5,2,17-08-2019
110,5,Classy product,"Value for Money, Nice bed surely go for it.READ MORE",5,2,17-10-2018
111,4,Great product,Very good I am very happyREAD MORE,2,0,17-05-2018
112,5,Worth the money,Value for moneyREAD MORE,2,0,17-12-2020
113,4,Very Good,Worth itREAD MORE,1,0,17-08-2020
114,5,Classy product,Value for moneyREAD MORE,2,0,17-07-2020
115,5,Pretty good,good product in this priceREAD MORE,2,0,17-11-2019
116,5,Fabulous!,Looks good..READ MORE,2,0,17-10-2019
117,5,Good,"this price range ypu can not expect more durable or quality prooduct , however in this price tag this is quite value for moneyREAD MORE",2,0,17-10-2019
118,5,Unsatisfactory,"I haven't seen such worst quality and service. Product is like a paper,very light weight and joints are very weak. Many parts of bed was broken and scratched, but flipkart rejected my request of replacement or refund. Please dont buy this product ,total waste of money. Now flipkart is cheating to customers. Flipkart started selling own brand and products so flipkart refuse to return or refund those products.Please dont by flipkart owned products.READ MORE",1,0,17-02-2019
119,3,Not recommended at all,horrible experience they had sent it without complete fitting not once but twice. even the replacement bed did not have the fitting I would recommend no one to buy this productREAD MORE,1,0,17-01-2019
120,3,Absolute rubbish!,This is the worst product from flipcart.Very poor quality.please don't buy it other wise you will regret like me.READ MORE,1,0,17-09-2018
121,4,Mind-blowing purchase,so far so goodREAD MORE,2,0,17-08-2018
122,4,Worth the money,"Finishing of material is good ,quality mediuminstallation agency delay 4 days for installation but  installation staff is excellent and take only 80 min for install.READ MORE",7,5,17-04-2018
123,3,Fair,"sad,,???? product is good, but the delivery was not done properly.... late installation.... and the installation guys were handling the products very roughly... have got lots of scratches on the products....very unhappy with the installation and delivery....Flipkart should change the installation vendor.disappointed ??READ MORE",8,7,17-10-2018
124,5,Unsatisfactory,After  7 months the condition is horrible. If you want to waste ur time and money you can go for it.READ MORE,3,1,17-02-2019
125,5,Hated it!,"very bad quality. very delicate, you can remove screw by hand. if it you pull the cot piece will come in your hand.READ MORE",3,1,17-01-2020
126,4,Don't waste your money,Poor quality productREAD MORE,2,1,17-07-2019
127,5,Fair,good productREAD MORE,3,1,17-07-2019
128,5,Classy product,nice..READ MORE,3,2,17-04-2019
129,5,Worthless,very sharp edges. Be careful while buying this. Got hurt because of the sharp cornersREAD MORE,3,2,17-12-2018
130,5,Waste of money!,not suitable for small homeREAD MORE,3,2,17-08-2019
131,5,Perfect product!,Worth of the money Great offer. Really goodREAD MORE,2,1,17-12-2018
132,5,Absolute rubbish!,really disappoint.           totally waste of money bad quality......????????READ MORE,1,1,17-01-2021
133,5,Terrible product,"the installation was done after a week of delivering the product, really horrible ordering furniture in online, Mattress size given in product description is 78*60 but the actual Mattress size required is 79*60 and I became a fool ordering that particular mattress and there is no return for the mattress now really hecticREAD MORE",1,1,17-10-2019
134,5,Worst experience ever!,"Extremely poor quality product. Do not buy furniture from Fkart, no customer support, post payment.Highly disappointed !!READ MORE",2,1,17-08-2019
135,5,Very poor,Worst material... don't buy it...READ MORE,2,1,17-05-2019
136,5,Worth the money,Nice one..READ MORE,1,0,17-02-2019
137,3,Awesome,Good One.....Should Handle With Care..... Installed Person had given few instructions on how to handle n should follow It....READ MORE,1,0,14-03-2021
138,5,Good choice,Good for this priceREAD MORE,0,0,17-02-2021
139,4,Fabulous!,Beautiful bed with a lot of storage space. I could fit 2 extra cotton mattress inside with a lot of other stuffs. Headboard also has racks to put stuff. No sound after installation. Have been using for a month now. Fully satisfied with the product and assembly as well.READ MORE,1,0,17-02-2021
140,4,Brilliant,"Premium quality, Finish is really good. Delivery was fast! I received it in two days from the day of purchase & installation was done 1 day later. Totally satisfied ??READ MORE",1,0,17-02-2021
141,4,Terrific,Best for middleclass peopleREAD MORE,1,0,17-02-2021
142,4,Awesome,You could not move an inch of bed even for cleaning your floorREAD MORE,1,0,17-02-2021
143,5,Super!,Superb AmazingREAD MORE,0,0,17-02-2021
144,3,Does the job,Quality is very poor.. Design and finishing is good. durability not confirmed now but installation boy also tell that this product basically 1-2 year as long as but installation is good as per given time period. Almost product is good as per price.. Go for itREAD MORE,0,0,17-01-2021
145,5,Fair,The bottoms of the storage unit is left unattended on the ground and cannot be attached. It's not nailed tooREAD MORE,0,0,17-01-2021
146,4,Good quality product,Its goodREAD MORE,1,0,17-01-2021
147,5,Worth the money,Delivered in time.Same as shown in picture.READ MORE,1,0,17-01-2021
148,5,Good,Betterin this price rangeREAD MORE,0,0,17-01-2021
149,4,Super!,NicREAD MORE,1,0,17-12-2020
150,5,Simply awesome,"Very nice product ,but handles  provided to  bottom panel boards for easy lifting boards and for cleaningREAD MORE",1,0,17-11-2020
151,3,Good quality product,Nice and good Its value of moneybut Mattress size is 70 X 60 same mattress i order but 5 cm gape is there whyREAD MORE,1,0,17-09-2020
152,4,Useless product,This product is not at all good.And the service provider didn't come for the installation .Never buy furniture from flipkart...READ MORE,1,0,17-08-2020
153,5,Highly recommended,Price to much high.....READ MORE,1,0,17-08-2020
154,5,Unsatisfactory,"Don't buy, Cheap quality.Not durable..READ MORE",1,0,17-08-2020
155,4,Classy product,Good product. Quality is average.READ MORE,0,0,17-07-2020
156,5,Bad quality,"2-3years maximum life, quality is below average and design n finish is good.Only recommend for students or working professionals.Family should not buy this else they have to invest again in 2 years.READ MORE",1,0,17-07-2020
157,4,Best in the market!,satisfied by the installation and very Co-operativeREAD MORE,1,0,17-07-2020
